id_1,id_2,Timestamp
3,4,0:58
2,6,3:43
2,6,5:47
0,1,9:24
0,2,9:24
1,2,9:24
0,1,12:46
0,2,12:46
0,7,12:46
1,2,12:46
1,7,12:46
2,7,12:46
0,2,16:20
3,4,27:24:00
0,13,32:32:00
0,1,35:49:00
0,11,35:49:00
1,11,35:49:00
1,15,41:33:00
1,16,41:33:00
15,16,40:36:00
16,7,44:20:00
3,4,48:12:00
3,17,50:00:00
18,20,54:10:00
0,1,56:52:00
0,2,56:52:00
0,15,56:52:00
1,2,56:52:00
1,15,56:52:00
2,15,56:52:00
0,1,1:00:51
0,2,1:00:51
0,15,1:00:51
0,21,1:00:51
0,23,1:00:51
1,2,1:00:51
1,15,1:00:51
1,21,1:00:51
1,23,1:00:51
2,15,1:00:51
2,21,1:00:51
2,23,1:00:51
15,21,1:00:51
15,23,1:00:51
21,23,1:00:51
0,1,1:02:15
0,2,1:02:15
0,15,1:02:15
0,23,1:02:15
1,2,1:02:15
1,15,1:02:15
1,23,1:02:15
2,15,1:02:15
2,23,1:02:15
15,23,1:02:15
0,23,1:05:07
0,24,1:05:07
23,24,1:05:07
0,1,1:15:58
28,29,1:25:19
31,32,1:31:05
0,1,1:32:35
0,2,1:32:35
0,5,1:32:35
0,15,1:32:35
0,23,1:32:35
1,2,1:32:35
1,5,1:32:35
1,15,1:32:35
1,23,1:32:35
2,5,1:32:35
2,15,1:32:35
2,23,1:32:35
5,15,1:32:35
5,23,1:32:35
15,23,1:32:35
0,1,1:37:16
0,2,1:37:16
0,5,1:37:16
0,15,1:37:16
0,23,1:37:16
1,2,1:37:16
1,5,1:37:16
1,15,1:37:16
1,23,1:37:16
2,5,1:37:16
2,15,1:37:16
2,23,1:37:16
5,15,1:37:16
5,23,1:37:16
15,23,1:37:16
0,21,1:48:10
0,5,9:24
1,5,9:24
2,5,9:24
